Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-suite23,,,,2019-12-04 17:44:09,2019-12-04 17:44:28,18.764s,PASSED
,,,,,,,
Test Cases/url-encoded,,,,2019-12-04 17:44:10,2019-12-04 17:44:18,8.729s,PASSED
"requestObject = findTestObject(""url-encoded"")",,,,2019-12-04 17:44:11,2019-12-04 17:44:11,0.773s,PASSED
response = sendRequestAndVerify(requestObject),,,,2019-12-04 17:44:11,2019-12-04 17:44:16,4.948s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-12-04 17:44:16,2019-12-04 17:44:16,0.009s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:44:16,2019-12-04 17:44:16,0.012s,PASSED
Video,,,,2019-12-04 17:44:18,2019-12-04 17:44:18,0.003s,PASSED
,,,,,,,
Test Cases/requestbin,,,,2019-12-04 17:44:18,2019-12-04 17:44:25,6.979s,PASSED
"requestObject = findTestObject(""requestbin"", [""productName"":productName, ""dog"":dog])",,,,2019-12-04 17:44:19,2019-12-04 17:44:19,0.484s,PASSED
response1 = sendRequest(requestObject),,,,2019-12-04 17:44:19,2019-12-04 17:44:21,1.976s,PASSED
"verifyResponseStatusCode(response1, 200)",,,,2019-12-04 17:44:21,2019-12-04 17:44:21,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 17:44:21,2019-12-04 17:44:21,0.001s,PASSED
"verifyElementPropertyValue(response1, ""success"", true)",,,,2019-12-04 17:44:21,2019-12-04 17:44:21,0.116s,PASSED
response2 = sendRequestAndVerify(requestObject),,,,2019-12-04 17:44:21,2019-12-04 17:44:23,1.887s,PASSED
"verifyResponseStatusCode(response2, 200)",,,,2019-12-04 17:44:23,2019-12-04 17:44:23,0.023s,PASSED
getStatusCode()).isEqualTo(200),,,,2019-12-04 17:44:23,2019-12-04 17:44:23,0.001s,PASSED
"verifyElementPropertyValue(response2, ""success"", true)",,,,2019-12-04 17:44:23,2019-12-04 17:44:23,0.043s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:44:23,2019-12-04 17:44:23,0.000s,PASSED
Video,,,,2019-12-04 17:44:25,2019-12-04 17:44:25,0.000s,PASSED
,,,,,,,
Test Cases/mockoon,,,,2019-12-04 17:44:25,2019-12-04 17:44:28,2.567s,PASSED
"sendRequest(findTestObject(""mockoon""))",,,,2019-12-04 17:44:26,2019-12-04 17:44:26,0.254s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-04 17:44:26,2019-12-04 17:44:26,0.000s,PASSED
Video,,,,2019-12-04 17:44:28,2019-12-04 17:44:28,0.001s,PASSED
